,0,1,2,3,4,5
1942,,,,classroom.  xxx was directed to go into calm room. She became even more escalated while in the calm,,
1943,,,,"room. xxx was screaming at teacher telling her she wishes (teacher) would die, telling teacher to, ""Shut her",,
1944,,,Small child restraint 1,"big fat mouth"" and other obscenities. She continued and started kicking and hitting the walls with her",,
1945,2017-2018 Y,9/26/2017,"person hold
Cafeteria","elbow and forearm. xxx was prompted to calm, offered water, etc. She continued to escalate. She charged,",,
1946,,,StudentDiscipline_L,,,
1947,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
1948,,,,"xxx was getting frustrated and refusing to do her work (too hard, I can't do it, I'm not doing it, and you",,
1949,,,,can't make me). She was offered one-on-one help to complete her work. xxx refused help and started to,,
1950,,,,"scream, yelling, throwing things off the table and laying on floor. She was trying to coerce another student",,
1951,,,,into joining her in bad behaviors. xxx was again offered support in which she refused. xxx started to,,
1952,,,,"escalate by throwing things around the room, standing on tables and chairs, and ripping work book covers.",,
1953,,,,"xxx was directed to the small instructional room for her safety at which time, she was making verbally",,
1954,,,,"threatening comments. After  xxx settled down, she came back to her desk and started the cycle all over.",,
1955,,,Small child restraint 2,xxx than escalated once again.  She ran out of the classroom and through the halls screaming and laughing.,,
1956,2017-2018 Y,10/19/2017,"person hold
Classroom","She approached the outside doors, opened them, threatened to leave, and was standing in-between the",,
1957,,,,During movement xxx was refusing to participate and ignoring teacher prompts. xxx was offered,,
1958,,,,"alternative options (ie, sit in her seat, take a break in the blue room, etc.). xxx refused and began to try to",,
1959,,,,get other students off task. She was directed to the blue room to calm. At this point xxx began aggressing,,
1960,,,Small child restraint 1,"toward staff (ie, hitting, kicking, etc.) and making threatening statements saying, ""she would kill staff and",,
1961,2017-2018 Y,11/27/2017,"person hold
Classroom","watch them die."" xxx behaviors continued to escalate and cycle, TCI strategies were implemented and she",,
1962,,,,Transitioning from Drop Everything and Read (DEAR) Time to her writing xxx began to make noises and curl,,
1963,,,,up her paper and use it as a microphone. She was getting up from her chair to take things off the teachers,,
1964,,,,desks and mimicking what other teachers and peers were saying in the classroom. xxx was then prompted,,
1965,,,,to either sit at her desk or utilize the blue room to calm her self and get back on track. xxx continued to yell,,
1966,,,Small child restraint 1,and shout inappropriate things at both students and staff. xxx was directed to the blue room because she,,
1967,2017-2018 Y,11/27/2017,"person hold
Classroom","was beginning to aggress towards staff (ie, hitting, kicking, threating to kill staff, etc.). xxx was asked to try",,
1968,,,,"After lunch when she calmed down, xxx was asked to do some classwork that was given earlier in the day.",,
1969,,,,"Instead of completing the work, she got upset which escalated physical behavior and she hit two staff",,
1970,,,Small child restraint 1,"members  and also started to hiss and scream and staff  ""This is so hard"" she stated and also targeted an",,
1971,2017-2018 Y,12/7/2017,"person hold
Classroom","individual staff member, she stated that she wanted to hit the staff member. Once xxx was calm we asked",,
1972,,,,xxx was refusing to complete her work. She was told to take a break if she needed to. xxx would not take a,,
1973,,,,"break and started to yell, scream, throw books off of desk, and walking around the room. when asked to",,
1974,,,,have a seat she refused. xxx than left the classroom with out permission. xxx was brought back screaming,,
1975,,,,"and yelling in hallway. She was guided into calm room by two teacher aides. xxx started to escalate,",,
1976,,,,"kicking, screaming, hitting, pushing and threatening teacher aides (I'm going to throw your body around",,
1977,,,Small child restraint 1,"the room, I am going to hurt you).  xxx was put into a restraint. She calmed herself and was given a drink",,
1978,2017-2018 Y,2/13/2018,"person hold
Classroom",and nurse came to check on her. We discussed the issue and xxx was told she still needed to complete the,,
1979,,,StudentDiscipline_L,,,
1980,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
1981,,,,"xxx came into school, got her lunch and unpacked her backpack. Partially through lunch xxx began",,
1982,,,,"demonstrate behaviors, specifically trying to gain peer attention. When transitioning to morning work xxx",,
1983,,,,started to crumple up papers and refuse to begin work. xxx was not responding to teacher prompts or,,
1984,,,,"work at a lesser grade level. She disassembled her work book and threw it at staff, raised her closed fists",,
1985,,,,"threatening to hit which escalated to pretending hand was a gun stating, ""I am going to shoot you...I want",,
1986,,,,"to kill you...you are going to be dead."" xxx behavior continued with alternative staff, putting paper in her",,
1987,,,Small child restraint 1,"mouth saying she was going to eat it, then trying to put what was in her mouth in a staff members ear. On",,
1988,2017-2018 Y,3/26/2018,"person hold
Classroom",many instances where there was a lull in her behavior attempts to get her to access strategies to calm,,
1989,,,,During lunch xxx was teasing a peer and was asked to stop.  xxx began laying her upper half of her body on,,
1990,,,,the table and was asked to sit up during lunch (other peers were still eating).  She told xxxthat she was,,
1991,,,,"going to run away.  She began climbing on thing in the hallway while transitioning back to room, banging",,
1992,,,,"her lunch box on the walls and was yelling.  Once in the classroom xxx continued to yell, climbed on top  of",,
1993,,,Small child restraint 1,several tables.  xxx stated she was going to break her arm and got a pencil out and was rubbing it against,,
1994,2017-2018 Y,4/10/2018,"person hold
Classroom",her arm.  xxx then took items of peers off of their desks and began throwing them. I told her to put them,,
1995,,,,"xxx came back from speech upset and demanding paper. When asked by staff to be patient, xxx escalated",,
1996,,,,"quickly and began kicking a file cabinet. When staff approached xxx to talk to him, xxx began throwing",,
1997,,,Small child restraint 2,chairs in the direction of staff. xxx was put into a hold by writer and another staff member. xxx was let go,,
1998,2017-2018 Y,1/9/2018,"person hold
Classroom",from hold once he calmed and immediately threw his boot which struck staff in the chest and then,,
1999,,,,"xxx was upset after being redirected during gym. Once staff told xxx that it was time to lineup he got upset,",,
2000,2017-2018 Y,,"2/1/2018 2 person seated hold
Gymnasium",took a ball and hit a staff in the face with it. xxx was then put in a 2 person hold,,
2001,,,,"Following prompts to put drawing materials away and get ready for instruction, xxx began gesturing his",,
2002,,,,"fists in a threatening manner and calling this writer ""bitch"" and ""asshole"". xxx was able to make it through",,
2003,,,,"read aloud portion of the afternoon to earn his choice time. At the start of choice time, xxx again postured",,
2004,,,,"to writer, again calling writer vulgar names. Writer reminded xxx of inappropriate choices and the",,
2005,,,Small child restraint 2,outcomes of said behavior. xxx walked to the back side of the room at this point and again began posturing,,
2006,2017-2018 Y,3/6/2018,"person hold
Classroom",to writer. Writer asked xxx if he needed a break and reminded him that he needed to make smart choices.,,
2007,,,,xxx was scheduled with OT.  He came outside with the class for recess with xxx.  xxx seemed to struggle,,
2008,,,Small child restraint 1,with sharing the OT equipment.  He started to become emotionally upset and walked away from xxx,,
2009,2017-2018 Y,7/18/2017,"person hold
Outside",several times. He refused to come inside and was attempting to go after another student that was yelling.,,
2010,,,,Became upset with another student he hit  the student then took the students milk and stomped on it.,,
2011,2017-2018 Y,,"8/3/2017 2 person seated hold
Classroom","When staff came up to him he started to hit staff in the face, grabbed the broom and tried to hit staff with",,
2012,2017-2018 Y,9/13/2017 Standing Hold,Classroom,"Student was being unsafe and attempted to throw toys, bite and punch staff.",,
2013,,StudentDiscipline_L,,,,
2014,"Disposition
SchoolYear BIP EffectiveIncidentDate",ocation,StudentDiscipline_Description,,,
2015,,,xxx could not get on the bus when it was time for dismissal. He ran around the room finding anything he,,,
2016,,,could to knock over and rip up. He ripped up all of his students projects. Threw different classroom objects,,,
2017,"2017-2018 Y
9/20/2017 Standing Hold",Classroom,at staff members. He threw any chair he could get a hold of. His escalated behavior indicated he was,,,
2018,,,"We had a fire drill, to which xxx took three steps out of the classroom and shut down. He refused to go out",,,
2019,,,for the fire drill but was willing to go back to class. xxx got upset when he was not able to do a preferred,,,
2020,"2017-2018 Y
9/21/2017 2 person prone hold",Classroom,"task. He proceeded to throw/rip anything he could get his hands on. He hit, kicked, and bit the adults in the",,,
2021,,,xxx escalated because he was unable to share toys during recess. A hold was administered due to xxx being,,,
2022,,,"unable to keep himself safe. xxx stated, "" I am going to kill a student""...""I will kill myself""...""Stab my eyes",,,
2023,"2017-2018 Y
9/25/2017 Standing Hold",Classroom,"out""...""cut my skin off""...""I will eat your eyeballs out"", to staff member. When escalating xxx targets a staff",,,
2024,,,xxx was unable to follow directions. His behaviors escalate very quickly and he was unable to keep his body,,,
2025,"2017-2018 Y
9/25/2017 Standing Hold",Classroom,"safe, a hold was administered. xxx stated, "" I am going to kill myself"", ""I don't care if I die"".",,,
2026,,,During Morning Meeting xxx got upset because it was not his turn to pick. He proceeded to attempt to hit,,,
2027,,,"a student, staff interfered and got hit instead. xxx then went after another student by attempting to kick",,,
2028,Small child restraint 1,,"her in the face, he got very close to her face. If a staff member was not there to interfere he would have",,,
2029,"person hold
2017-2018 Y
10/16/2017",Classroom,kicked her hard in the face. Both students just happened to be in his line of sight to target. xxx then went,,,
2030,,,During play time xxx took Dinosaurs away from another student. When asked to give them back xxx got,,,
2031,Small child restraint 1,,aggressive and violent towards adults and students. Due to extreme unsafe behavior a hold was,,,
2032,"person hold
2017-2018 Y
10/16/2017",Classroom,administered.,,,
2033,,,xxx became escalated in the classroom with another student. He then began to target a staff whom used,,,
2034,Small child restraint 2,,"physical proximity to intervene. He punched, kicked and spit at staff. xxx then picked up a metal water",,,
2035,"person hold
2017-2018 Y
10/19/2017",Classroom,"bottle and threw it, this hit a staff as well as another student. The classroom was cleared and this writer",,,
2036,,,"xxx came into school above baseline. xxx began climbing on window sill, on chairs, jumping from desk to",,,
2037,,,"desk, throwing scissors and pencils. A hold was initiated at 9:07am by xxx. Legs were held at 9:08am by",,,
2038,,,"xxx. Hold was re-adjusted at 9:10am, where xxx taped out on arms with xxx. xxx asked for his shoes to be",,,
2039,,,"removed. xxx made several statement during hold. ""I am going to kill you"", ""I am going to bite you"", ""I am",,,
2040,Small child restraint 2,,"going to kick you"". xxx continued to scream and cry to let go, but continued to have an unsafe and",,,
2041,"person hold
2017-2018 Y
11/6/2017",Classroom,"unsettled body. 9:15am xxx and xxx switched on legs. xxx continued to say ""I'm gunna kill you"", ""You're",,,
2042,,,StudentDiscipline_L,,,
2043,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2044,,,,After previous hold was ended xxx re-engaged with the classroom environment. xxx went over to teachers,,
2045,,,,desk and started touching pencils. xxx direction was to sit at desk. xxx began pretending the pencils were a,,
2046,,,,"gun. xxx attempted to play with classroom phone. Then xxx climbed up on the toy self 3 times, with",,
2047,,,,assistance down due to serious safety concerns. at 9:29am xxx initiated hold with xxx on legs. xxx made,,
2048,,,Small child restraint 2,"several comments in the hold. ""I will pinch you"", ""Stop right now"", ""Get off my belly"", That's enough I'm",,
2049,2017-2018 Y,11/6/2017,"person hold
Classroom","calling somebody who can kill you."", ""Now let go or I'll pull this (referring to CM ID badge lanyard). ""I hate",,
2050,,,,xxx was let out of a restraint and directed to sit at desk. At 9:44am xxx took a paperclip and unbent it into a,,
2051,,,,"weapon (sword).9:45am xxx was using a paperclip as a ""key"" at the desk drawer. 9:46am xxx threatened to",,
2052,,,,stab xxx with a pencil. xxx then went to classroom computer and tried to access the internet. xxx went to,,
2053,,,,turn computer off to limit xxx ability. xxx with an open hand made contact with xxx inappropriately,,
2054,,,,"between her legs. 9:54am xxx pulled computer wires and then jumped up on desk, was jumping between",,
2055,,,,"desks. xxx was yelling ""I'll smack you if you touch me"". ""I'm not messing around"". 9:55am, xxx went to",,
2056,,,,"window sill and opened window threatening to run away. 9:56am, running back and forth between xxx and",,
2057,,,Small child restraint 2,xxx who sat on either end of window sill to limit access to unsafe climbing. xxx continued to try and break,,
2058,2017-2018 Y,11/6/2017,"person hold
Classroom",the screen. xxx went over to xxx and used his foot to reach inbetween xxx legs again. xxx then went back to,,
2059,,,,xxx came into multi purpose room after leaving classroom and entering the hallway. When xxx entered the,,
2060,,,,room and went to writer and other student. xxx ripped paper from student. The other student left room,,
2061,,,,and xxx stayed in the multi purpose room. 10:50am xxx hit xxx (classroom teacher) and bit xxx (school,,
2062,,,Small child restraint 2,"social worker). A 2 person hold was initiated at 10:50am. xxx initiated hold, xxx on legs. xxx was released at",,
2063,2017-2018 Y,11/13/2017,"person hold
Classroom","10:55am from hold. xxx called staff ""bitch"", ran across room, was on the window sill, climbing on counters",,
2064,,,,"Following hitting xxx, a hold was initiated by xxx at 10:58am, xxx on legs. xxx made multiple statements in",,
2065,,,,"his hold. xxx expressed that he was feeling hurt in the hold. xxx also stated that if staff ""break his legs, I'll",,
2066,,,,"break your neck"". xxx stated he wanted to see how we feel when he breaks our necks. He repeated this",,
2067,,,Small child restraint 2,phrasing 3 times. 11:02am xxx was released. xxx began to run and climb on sink. xxx expressed not wanting,,
2068,2017-2018 Y,11/13/2017,"person hold
Classroom",to be touched and that he was King of the room. xxx continued to run on windowsill. xxx wrapped the blind,,
2069,,,,After xxx hit xxx a hold was initiated by xxx at 11:05am. xxxx on legs. xxx made cverbally aggressive,,
2070,,,,"statements in the hold, such as, ""You stupid Bitch"", ""I hate you, you bitchy bitchy ass hole"". xxx then",,
2071,,,,"proceeded to spit on xxx. xxx stated ""I will kill you"", ""I hate you"", ""I want my lunch now move out of the",,
2072,,,,"way or I will kick you in the face"". xxx stated that his arms hurt, told staff to get off of him and to let go of",,
2073,,,Small child restraint 2,him. At 11:11am xxx stated that if xxx' legs were still she could let xxx get off of legs. xxx was still and xxx,,
2074,2017-2018 Y,11/13/2017,"person hold
Therapy Room",let go of legs. xxx remained on arms to see a calm body and stated that she needed to see still legs. xxx,,
2075,,,StudentDiscipline_L,,,
2076,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2077,,,,xxx was escalated in the classroom and ran out of the classroom. Proximity was used to help xxx into the,,
2078,,,,Therapy room. xxx climbed on window sill and wrapped the chain for the blinds around his neck three,,
2079,,,Small child restraint 2,"times. xxx was unsafe, hitting and kicking xxx (Classroom teacher) and xxx (Social Worker). A hold was",,
2080,2017-2018 Y,11/14/2017,"person hold
Therapy Room","initiated at 10:23 by xxx (Classroom teacher). xxx stated, ""I'll kill you with a knife and twist it and kill you.""",,
2081,,,,xxx was in therapy room with his classmates due to another crisis in the classroom. Classroom staff noticed,,
2082,,,,that xxx was verbally escalating and told students to pack up their things to get ready to leave the room.,,
2083,,,,xxx then physically began running around the room and attempted to leave the therapy room. Proximity,,
2084,,,,was used to allow other students to leave the room safely. xxx used the chalkboard lip to scale the,,
2085,,,,classroom wall. xxx got to the cabinet where there are many objects out of reach of children. xxx knocked,,
2086,,,,over a cup that had thumb tacks in it and got to multiple thumb tacks before staff could clear for safety. at,,
2087,,,,9:05am xxx began throwing thumb tacks at staff and posturing toward staff with thumb tacks. Then ran to,,
2088,,,,"the windowsill, where he wrapped the blind cords around his neck. xxx was put in a hold, xxx (Classroom",,
2089,,,,"teacher) on hold. At 9:07am xxx was released. xxx continued to escalate, xxx stated ""get back or I have to",,
2090,,,Small child restraint 2,"hit"". xxx then his staff. xxx began stating ""try and put me in a hold"" by physically attacking staff, which",,
2091,2017-2018 Y,11/16/2017,"person hold
Therapy Room","were defected. ""Come and get me"" said xxx. At 9:18 xxx continued to throw chairs, markers, cards, pens,",,
2092,,,,xxx started his school day escalated. He needed constant redirection and hurdle help to mange in the,,
2093,,,,"classroom. During Read-a-loud xxx was very disruptive, intentionally trying to upset the other students in",,
2094,,,,the room. As we moved through our afternoon xxx continued to not follow directions and proceeded to,,
2095,,,,"set his classmates off. During independent work, a drink was being passed out. When xxx did not get his",,
2096,,,,"way, by immediately getting his drink when he wanted it, he got very upset. He then proceeded to attempt",,
2097,,,,to get his own drink. When he was redirected he went after his classmates and took their cups from them.,,
2098,2017-2018 Y,,"12/5/2017 2 person seated hold
Classroom","He then started to chase a student around the room and then shoved this student, face first into a",,
2099,,,,"During centers, xxx stopped working when he did not receive the attention he wanted. He proceeded not",,
2100,,,,"knock all his papers off his desk, refusing to do work. xxx went to the bathroom and would not wash his",,
2101,,,Small child restraint 1,"hands after, refused after being prompted. xxx then proceeded to run around the room knocking things",,
2102,2017-2018 N,10/13/2017,"person hold
Classroom","over and throwing PT/OT supplies around the room. Staff attempted redirection, time away and hurdle",,
2103,,,,Student was upset about the time that was given for his break. Choices were given to the student but,,
2104,,,Small child restraint 1,student continued to yell and threaten staff. Student then took off running around the school. When,,
2105,2017-2018 Y,10/11/2017,"person hold
Hallway",student was found he ran away from staff and was found by another. Small child hold was utilized for,,
2106,,,StudentDiscipline_L,,,
2107,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2108,,,,"During lunch time, xxx repeatedly called another student a ""bitch' and dared her to fight. The other",,
2109,,,,student became visibly upset. She then threw her food at xxx. This resulted in a food fight and the other,,
2110,,,,student exited the classroom. xxx then pursued her and gestured as he would throw his food at her along,,
2111,,,,"with his peers. After staff intervention, xxx returned to the specials room. xxx proceeded to resume his",,
2112,,,,comments toward the other student. xxx then became verbally aggressive and degrading toward a staff,,
2113,,,,"member. The other student became angry and referred to xxx as a ""bitch."" xxx increased his verbal",,
2114,2017-2018 Y,12/6/2017 Standing Hold,Classroom,aggression toward the other student. The other student slapped xxx in the face and xxx immediately,,
2115,,,,The client wasn't upset but he was kicking the writer and would not  stop. The student was already upset,,
2116,,,Small child restraint 1,when he entered the theory room were I and another student we're. The youth was in the hold for from,,
2117,2017-2018 N,10/5/2017,"person hold
Theory Room",12:05 PM until 12:13 PM.,,
2118,,,Small child restraint 1,xxx told staff that he was glad he had a good morning because he was now going to have a bad afternoon.,,
2119,2017-2018 N,10/16/2017,"person hold
Classroom","At that time he started to throw chairs, run around the classroom and throw numerous objects at staff.",,
2120,,,,The youth and another peer continually kept disrupting the students in the classroom. The youth was,,
2121,,,,asked to go to the hallway. The youth was in the hallway and entered another classroom to get back in the,,
2122,,,Small child restraint 1,classroom where the other peer was. The client was pushing staff and was redirected to stop. The client,,
2123,2017-2018 N,10/19/2017,"person hold
Theory Room",continued so he was put in a restraint from 9:43 AM to 9:47 AM. The youth was also put in the calm room,,
2124,,,,"Student refused to do math centers.  Instead, she and another student began running around the",,
2125,,,Small child restraint 1,"classroom, jumping on chairs, crawling under desks, throwing materials, and screaming.  She started telling",,
2126,2017-2018 Y,1/18/2018,"person hold
Classroom",the other students to run and not do work and not follow directions.  She shoved a student out of her way.,,
2127,,,,xxx had run out of the class.  She was non-compliant and refusing to come back to class.  She became,,
2128,,,Small child restraint 2,physically aggressive with staff.  She was scratching and trying to bite staff as well as trying to leave the,,
2129,2017-2018 Y,5/1/2018,"person hold
Hallway",area.,,
2130,,,,"During Morning Work, xxx was required to sit at her desk and complete her morning work. xxx did not",,
2131,,,,"want to do her work. She proceeded to throw her pencil, rip up her paper and scream. We gave her time",,
2132,,,,and space to settle while ensuring the safety of the other students and xxx. When xxx did not receive the,,
2133,,,Small child restraint 1,attention she wanted she proceeded to throw scissors across the room. Due to this extreme unsafe,,
2134,2017-2018 N,1/8/2018,"person hold
Classroom",behavior a staff member moved next to xxx. xxx bit this staff member twice causing injury. She also,,
2135,,,,xxx got upset today because she did not want to do her work. She turned to the student next to her and,,
2136,,,Small child restraint 1,"kicked him. She proceeded to throw anything she could get her hands on. She screamed, cried and was",,
2137,2017-2018 N,1/17/2018,"person hold
Classroom","inconsolable. xxx bit, and kicked staff in the face. A small child hold was administered due to safety",,
2138,,,StudentDiscipline_L,,,
2139,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2140,,,,xxx got upset today because she did not want to clean the books up that she dropped all over the floor,,
2141,,,,during choice time. She proceeded to get more agitated when she saw her classmates sitting down to,,
2142,,,Small child restraint 1,"work. She screamed, cried and ran around the room. She then tipped her desk over and threw her chair.",,
2143,2017-2018 N,1/19/2018,"person hold
Classroom","xxx ran around the room and took big scissors, threw them across the room. Due to this unsafe behavior a",,
2144,,,,"During group work, xxx was being disruptive to her classmates. She was asked to sit down. xxx got very",,
2145,,,Small child restraint 1,"upset when given a simple directive. She got very violent, screaming, throwing her pencil. Due to her",,
2146,2017-2018 N,1/22/2018,"person hold
Classroom",proximity to her classmates she was removed from group work. This further upset xxx and she began,,
2147,,,,"During Imagine Learning, xxx got upset because she did not want to do Imagine Learning. She proceeded to",,
2148,,,Small child restraint 1,"scream, cry and run around the room. xxx continued to escalate and was at risk for hitting her head. A hold",,
2149,2017-2018 N,1/22/2018,"person hold
Classroom",was administered due to unsafe behaviors.,,
2150,,,,"xxx was asked to take letters and glue them to popsicle sticks, along side her classmates. She put up a",,
2151,,,,struggle at first but then sat down to complete the task. She sat for about a minute before she stated she,,
2152,,,Small child restraint 1,did not want to do work. When she did not receive the attention she desired her behavior escalated. She,,
2153,2017-2018 N,1/22/2018,"person hold
Classroom",proceeded to scream and throw anything she could get her hands on. Due to her unsafe behaviors she was,,
2154,,,,xxx came back from gym very upset because she did not want to do her morning work. She proceeded to,,
2155,,,Small child restraint 1,"scream, cry, and throw anything she could get her hands on. Due to safety reasons a staff member used",,
2156,2017-2018 N,1/24/2018,"person hold
Classroom",proximity to keep xxx and the other students in the classroom safe. xxx behavior escalated to spitting and,,
2157,,,,During lunch xxx was asked to sit in her chair. She said no and proceeded to get very upset. She started,,
2158,,,,screaming throwing chairs and running around the room. Proximity and directive statements were used to,,
2159,,,Small child restraint 1,"keep xxx safe. xxx continued to escalate, she climbed on top of her desk, was hitting, pinching, biting and",,
2160,2017-2018 N,2/5/2018,"person hold
Classroom",throwing classroom objects. Due to xxx unsafe behavior a restraint was administered. xxx behavior,,
2161,,,,Upon arriving to school xxx was very upset based on a negative interaction he had with his mom. He,,
2162,,,,"became disruptive, oppositional, and physically aggressive toward adults, which required staff's use of a",,
2163,,,,TCI single person small child hold at 8:48 AM. This lasted for 20min before xxx was compliant with the,,
2164,,,,letting go process. Upon releasing the hold xxx began punching himself in the face. This led to staff,,
2165,,,Small child restraint 1,conducting another TCI single person small child hold due to his self injurious behavior. This lasted 8min,,
2166,2017-2018 Y,3/5/2018,"person hold
Calm Room",before he was able to comply with the letting go process. Once xxx was released from the small child hold,,
2167,,,,xxx was making unsafe comments about hurting himself. He began punching himself in the face,,
2168,,,,"aggressively. At this time Staff applied a TCI single person small child hold, which lasted nine minutes",,
2169,,,Small child restraint 1,before he complied with the letting go process. He immediately began hitting himself in a self injurious,,
2170,2017-2018 Y,3/5/2018,"person hold
Calm Room","manner, which staff immediately conducted another single person small child hold to ensure xxx safety.",,
2171,,,StudentDiscipline_L,,,
2172,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2173,,,,Student came into school agitated and slammed book bag and coat into cubby. Student was directed to,,
2174,,,,head toward support area seeing as they were not in a calm place to enter classroom. Student walked self,,
2175,,,,to support area and then into calm room. Student began kicking door of calm room and then began,,
2176,,,,throwing body into the door. Staff noticed student run head first into door and entered calm room with,,
2177,,,Small child restraint 2,student. Student was reminded that safety is key and that hurting themselves was not being safe. Student,,
2178,2017-2018 Y,3/6/2018,"person hold
Hallway",then began to punch themselves in the face. Small child hold was utilized to keep student safe from self,,
2179,,,,xxx was having a difficult time accepting school expectations. He began to yell when adults provided verbal,,
2180,,,Small child restraint 1,"support. He kicked chairs, desks, and then began to kick the adults. At this time staff utilized a TCI single",,
2181,2017-2018 Y,3/16/2018,"person hold
Calm Room","person small child hold, which lasted for four minutes before he was able to comply with the letting go",,
2182,,,,xxx was agitated and possibly responding to some internal stimuli when he began slapping himself in the,,
2183,,,Small child restraint 1,face in an aggressive manner. When verbally directed to stop he began hitting himself even harder. At this,,
2184,2017-2018 Y,3/26/2018,"person hold
Calm Room",time staff intervened by utilizing the TCI single person small child hold which lasted eight minutes before,,
2185,,,,Student came off the bus unresponsive to adults and directions. Student stormed into building not,,
2186,,,,stopping to sign in. Student was asked to please come back and give their name to be checked in. Student,,
2187,,,,huffed and puffed and stomped over and growled name at staff. Student then hastily stomped toward,,
2188,,,,classroom. He took his book bag and threw it into his cubby and then threw it on the ground and began,,
2189,2017-2018 Y,4/17/2018 Standing Hold,Hallway,stomping on it in the middle of the hall. He was reminded of his choices for the morning and was,,
2190,,,,"xxx was taking a break in the support area, which he initiated on his own doing. As he was taking this break",,
2191,,,,xxx began to slap himself in the face. When adults went in the room to redirect this self injurious he began,,
2192,,,Small child restraint 1,"to hit the adults. At this point staff utilized a TCI single person small child hold, which lasted for 11min",,
2193,2017-2018 Y,4/18/2018,"person hold
Calm Room",before he was able to follow the letting go process. As he was released from the hold xxx began to punch,,
2194,,,,xxx was taking some time to settle due to being frustrated with classroom expectations. xxx began slapping,,
2195,,,Small child restraint 1,and punching himself in face in a very aggressive manner. Staff intervened by using a TCI sing person small,,
2196,2017-2018 Y,5/2/2018,"person hold
Calm Room","child hold, which lasted 16 minutes before he was compliant with the letting go process and LSI",,
2197,,,,xxx was tagged out in a PE game. He became angry and started to kick the gym mats. He then focused his,,
2198,,,,aggression on the classroom teacher and began to kick and punch her. xxx was asked to take a break in the,,
2199,,,,"Support Room. Along the way from the gym, xxx once again displayed active aggression towards the adults",,
2200,,,,walking with him. xxx was directed into the Calm Room where he became even more aggressive towards,,
2201,2017-2018 Y,,"5/7/2018 2 person seated hold
Gymnasium","staff with him, kicking and punching the classroom teacher in the groin area and shins.  xxx refused the",,
2202,,,StudentDiscipline_L,,,
2203,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
2204,,,,Student was using ice on face and was asked to keep paper towel on it because bag was leaking. Student,,
2205,,,,began whacking his face with the bag of ice. Student walked down the support area where he continued,,
2206,,,,with self injurious behavior. Small hold was utilized to prevent student from hurting himself further for,,
2207,,,,seven minutes. Student was resting on mat in support area unbothered when he picked up beanbag and,,
2208,,,Small child restraint 1,put it over his head. Student was asked to keep the beanbag off of his face and just keep face behind it. He,,
2209,2017-2018 Y,5/14/2018,"person hold
Classroom",then picked up the beanbag and placed it over his head and was using hands to hold it down over his face,,
2210,,,,xxx was having difficulty maintaining safe behaviors and choices. He began to punch himself in the head,,
2211,,,Small child restraint 1,aggressively. Staff intervened by utilizing a TCI single person small child hold which lasted 12 minutes,,
2212,2017-2018 Y,5/14/2018,"person hold
Calm Room",before he was compliant with the letting go process.,,
2213,,,,xxx arrived to school having difficulty with expectations and self regulation. He went into the support room,,
2214,,,Small child restraint 1,"as a means of time away for self regulation, but upon entering the support room he became self-injurious,",,
2215,2017-2018 Y,5/16/2018,"person hold
Calm Room",requiring staff to intervene with a TCI single person small child hold. xxx was able to follow the letting go,,
2216,,,,Student was working on Math with staff. He was taking a break and informed that the time was up and,,
2217,,,,two more pages needed to be completed. Student sat down started writing and then went to rip packet in,,
2218,,,,half. Student pushed off staffs belongings off desk and stormed into the calm room. While in the calm,,
2219,,,Small child restraint 1,room the student was running into the door and banging his head against the door. Staff entered room to,,
2220,2017-2018 Y,5/16/2018,"person hold
Hallway",help student regain self control and student began hitting staff. Student then started kicking staff and two,,
2221,,,,Student unwrapped sandwich and began punching self in the face. Student was given option to take a,,
2222,,,,break inside the school away from class and staff and he refused and began punching self harder. Student,,
2223,,,,walked into building with staff and was kicking and hitting staff on the way to the support area. Student,,
2224,,,Small child restraint 1,was continuing to harm self and harm staff so the calm room was utilized. Student continued to harm self,,
2225,2017-2018 Y,5/18/2018,"person hold
Outside",while in the calm room by running his head into the door and punching self. Small child hold was utilized,,
2226,,,,Student had completed his OT session and was preparing to rejoin class outside. Student then walked away,,
2227,,,,"from staff, began ramming his head into brick wall. Another staff approached as xxx was tearing the Art",,
2228,,,,teachers bulletin board down. A staff member came down hallway to see xxx banging head against wall,,
2229,,,Small child restraint 1,"and placed him in small child hold for safety. Small child was utilized for 5 minutes, student was settled and",,
2230,2017-2018 Y,5/18/2018,"person hold
Hallway",a staff offered him an ice cream sandwich to show that he had not missed snack time outside. Student,,
2231,,,,Student was siting in seat on bus with classmate when he began punching himself in the face. He,,
2232,,,,momentarily stopped when staff asked what was wrong but then began punching himself and hitting head,,
2233,,,Small child restraint 1,against window. Staff moved the classmate from the seat and sat with student trying to redirect him.,,
